ナンバー,ファイル名,サイズ,カテゴリー,優先順位
1,S1_A_1.jpeg,A,S1,1
2,S1_A_2.jpeg,A,S1,8
3,S1_A_3.jpeg,A,S1,13
4,S1_A_4.jpeg,A,S1,20
5,S1_B_5.jpeg,B,S1,2
6,S1_B_6.jpeg,B,S1,9
7,S1_B_7.jpeg,B,S1,10
8,S1_B_8.jpeg,B,S1,16
9,S1_C_9.jpeg,C,S1,5
10,S1_C_10.jpeg,C,S1,11
11,S1_C_11.jpeg,C,S1,12
12,S1_C_12.jpeg,C,S1,19
13,S1_D_13.jpeg,D,S1,3
14,S1_D_14.jpeg,D,S1,4
15,S1_D_15.jpeg,D,S1,6
16,S1_D_16.jpeg,D,S1,7
17,S1_D_17.jpeg,D,S1,14
18,S1_D_18.jpeg,D,S1,15
19,S1_D_19.jpeg,D,S1,17
20,S1_D_20.jpeg,D,S1,18
21,S1_D_21.jpeg,D,S1,21
22,S1_D_22.jpeg,D,S1,22
23,S1_D_23.jpeg,D,S1,23
24,S1_D_24.jpeg,D,S1,24
